Experiment: exp1 Library: COMM_FMI_EXAMPLES Component: aircraftGear Partition: default
User: ftm Date: 2026:05:21 Time: 15:16:37
Platform: win64_vcr1 OS: Microsoft Windows [Version 10.0.26100]
Library dependency list: COMM_FMI_EXAMPLES V3.0.0 
Programme and Version: PROOSIS V7.2.1
#Group,#Case,#Calc,#Point,#Status,ESI,TIME,fk1,fk2,x,x',y1,y2,y2',y3,y3'
1,"","transient-1","",INTEG_BEGIN,"0",0,0,0,0,60.96,0,0,0,0,0
2,"","transient-1","",IS_CINT,"0",0.05,745.228559,16.0061932,3.04799265,60.959269,0.121724963,0.000471188421,0.0375039544,4.67156818e-06,0.000553531359
3,"","transient-1","",IS_CINT,"0",0.1,2899.00771,242.450907,6.09576977,60.9486003,0.484561797,0.00735320734,0.28945849,0.000286727959,0.0169657429
4,"","transient-1","",IS_CINT,"0",0.15,6231.20821,1121.71633,9.14230249,60.9045996,1.08152236,0.0358010356,0.921690705,0.00310746709,0.120586136
5,"","transient-1","",IS_CINT,"0",0.2,10405.1425,3125.10534,12.1851278,60.794409,1.90109173,0.107341449,2.02018108,0.0162570615,0.460391382
6,"","transient-1","",IS_CINT,"0",0.25,15031.5823,6501.33521,15.220052,60.5829002,2.92755151,0.245657256,3.58673145,0.0561692,1.2185747
7,"","transient-1","",IS_CINT,"0",0.3,19719.7093,11186.6364,18.2412167,60.2396711,4.14159073,0.472763815,5.55680706,0.146717869,2.48501971
8,"","transient-1","",IS_CINT,"0",0.35,24116.6782,16984.7063,21.2414773,59.744372,5.52121452,0.806257326,7.82083338,0.311220709,4.13893125
9,"","transient-1","",IS_CINT,"0",0.4,27939.2435,23833.4048,24.2129883,59.0895839,7.04287102,1.25731529,10.2316313,0.562666355,5.9194388
10,"","transient-1","",IS_CINT,"0",0.45,31004.4531,31796.951,27.1478656,58.2809555,8.68265286,1.82880997,12.6050421,0.902055351,7.6391317
11,"","transient-1","",IS_CINT,"0",0.5,33255.207,40791.4896,30.0387859,57.3346546,10.4174058,2.51379145,14.7373948,1.32488182,9.25879224
12,"","transient-1","",IS_CINT,"0",0.55,34766.2084,50395.9326,32.8794039,56.2727356,12.2255919,3.29543708,16.4451517,1.82659614,10.7972895
13,"","transient-1","",IS_CINT,"0",0.6,35720.892,59901.9478,35.6645093,55.1176511,14.0878072,4.14917979,17.6084449,2.40327633,12.254797
14,"","transient-1","",IS_CINT,"0",0.65,36363.2508,68495.8007,38.3899207,53.8874169,15.9869302,5.04668624,18.1993509,3.05030616,13.6059702
15,"","transient-1","",IS_CINT,"0",0.7,36937.2946,75451.0261,41.0521803,52.5926735,17.9079593,5.96068189,18.2870616,3.76158466,14.8201597
16,"","transient-1","",IS_CINT,"0",0.75,37629.1416,80277.7586,43.6481639,51.2362812,19.837658,6.86946582,18.020798,4.52968853,15.876886
17,"","transient-1","",IS_CINT,"0",0.8,38524.9835,82808.3982,46.1747348,49.8153956,21.7641473,7.76011391,17.5959348,5.34657855,16.7725647
18,"","transient-1","",IS_CINT,"0",0.85,39593.2942,83210.1716,48.6285488,48.3252981,23.6765794,8.62975694,17.211932,6.20451149,17.5228609
19,"","transient-1","",IS_CINT,"0",0.9,40694.3032,81922.5717,51.0060735,46.763945,25.5649789,9.48473391,17.0313913,7.09701686,18.1628886
20,"","transient-1","",IS_CINT,"0",0.95,41613.1984,79533.5712,53.3038284,45.1360095,27.4202879,10.3379236,17.1497474,8.01983645,18.7455619
21,"","transient-1","",IS_CINT,"0",1,42107.8976,76623.0335,55.5187917,43.4554405,29.2345842,11.2049827,17.5819921,8.97172615,19.3377075
22,"","transient-1","",IS_CINT,"0",1.05,41959.9235,73691.0317,57.6488867,41.7459894,31.0014047,12.1003844,18.2676158,9.952584,19.8491061
23,"","transient-1","",IS_CINT,"0",1.1,41021.1547,71339.4537,59.6934396,40.0395893,32.7160767,13.0337957,19.0749387,10.9545344,20.2301932
24,"","transient-1","",IS_CINT,"0",1.15,39253.656,69652.1521,61.6535051,38.3727219,34.3759594,14.0069703,19.828594,11.9768872,20.6834691
25,"","transient-1","",IS_CINT,"0",1.2,36738.0929,68211.2174,63.531975,36.7814763,35.9805093,15.0130996,20.3710874,13.025014,21.262363
26,"","transient-1","",IS_CINT,"0",1.25,33646.7975,66356.6556,65.3334345,35.2968458,37.5311289,16.0389196,20.6068782,14.1048871,21.945775
27,"","transient-1","",IS_CINT,"0",1.3,30196.0806,63406.9792,67.0638203,33.9415649,39.0308369,17.0684103,20.5225553,15.2203491,22.6742136
28,"","transient-1","",IS_CINT,"0",1.35,26592.8265,58844.2562,68.7299754,32.7291231,40.4838375,18.0869085,20.1838017,16.3718325,23.3742895
29,"","transient-1","",IS_CINT,"0",1.4,22989.0103,52440.1386,70.3392068,31.6649838,41.8950874,19.0845769,19.7127901,17.5561555,23.9775956
30,"","transient-1","",IS_CINT,"0",1.45,19455.1231,44347.0759,71.8989523,30.7494919,43.2699535,20.0583866,19.252899,18.7658457,24.2426643
31,"","transient-1","",IS_CINT,"0",1.5,15985.4071,36466.2912,73.4166128,29.981423,44.6140195,21.0115959,18.8879214,19.9487486,22.8365799
32,"","transient-1","",IS_CINT,"0",1.55,12581.2705,31204.6367,74.8995371,29.3598381,45.9330332,21.9469647,18.5072853,21.0374737,20.6854058
33,"","transient-1","",IS_CINT,"0",1.6,9350.72149,28761.6416,76.3549866,28.8813993,47.2328423,22.8586642,17.9096364,22.0203767,18.6987227
34,"","transient-1","",IS_CINT,"0",1.65,6510.31051,28016.5661,77.7898888,28.5352848,48.519148,23.7319962,16.960959,22.9154247,17.1847774
35,"","transient-1","",IS_CINT,"0",1.7,4314.33638,27551.7112,79.210364,28.2997345,49.7970521,24.548904,15.665478,23.7458812,16.0877838
36,"","transient-1","",IS_CINT,"0",1.75,2964.98931,26323.9265,80.6211676,28.1422736,51.0705257,25.2949882,14.1591972,24.5277505,15.2041437
37,"","transient-1","",IS_CINT,"0",1.8,2543.69626,23960.087,82.0252379,28.0235798,52.3419684,25.96485,12.654565,25.2665088,14.3364774
38,"","transient-1","",IS_CINT,"0",1.85,2984.83116,20733.0424,83.4235003,27.9035639,53.6119971,26.5641159,11.3681501,25.9598302,13.378451
39,"","transient-1","",IS_CINT,"0",1.9,4094.07564,17331.58,84.8149911,27.7477153,54.8795285,27.1079915,10.4580694,26.6028449,12.3327643
40,"","transient-1","",IS_CINT,"0",1.95,5599.25627,14556.251,86.1972651,27.5318934,56.1421271,27.6173151,9.98810602,27.1930582,11.2856378
41,"","transient-1","",IS_CINT,"0",2,7214.7707,13040.3609,87.5669813,27.244531,57.3965246,28.1135969,9.92319698,27.7335223,10.3653721
42,"","transient-1","",IS_CINT,"0",2.05,8700.11424,13062.0405,88.9205271,26.8860096,58.6391861,28.6145595,10.152533,28.233853,9.69917214
43,"","transient-1","",IS_CINT,"0",2.1,9897.81767,14484.8227,90.2545512,26.4657975,59.8668006,29.1313081,10.5295853,28.7091331,9.37203475
44,"","transient-1","",IS_CINT,"0",2.15,10744.0992,16836.4788,91.5663204,25.9984372,61.0766154,29.6676351,10.9150398,29.1769188,9.39365385
45,"","transient-1","",IS_CINT,"0",2.2,11254.5118,19494.1325,92.8538712,25.4995819,62.266585,30.2212575,11.2090572,29.6530811,9.68809028
46,"","transient-1","",IS_CINT,"0",2.25,11494.4139,21896.4063,94.1159857,24.9830331,63.4353572,30.7862026,11.364379,30.1480095,10.1191858
47,"","transient-1","",IS_CINT,"0",2.3,11546.7445,23691.1088,95.352055,24.4591959,64.5821523,31.3553594,11.3805149,30.6648578,10.5432663
48,"","transient-1","",IS_CINT,"0",2.35,11487.1418,24769.5276,96.5618985,23.9348516,65.7066002,31.9224134,11.2865293,31.2004802,10.8581162
49,"","transient-1","",IS_CINT,"0",2.4,11370.7222,25208.2379,97.7455963,23.4138067,66.8085869,32.4828411,11.1221519,31.7481212,11.0218231
50,"","transient-1","",IS_CINT,"0",2.45,11229.428,25177.1695,98.9033654,22.8979015,67.8881394,33.0340674,10.9237551,32.3002531,11.0418385
51,"","transient-1","",IS_CINT,"0",2.5,11076.2653,24861.6923,100.035486,22.3879763,68.9453573,33.5750882,10.7172234,32.8504688,10.9518247
52,"","transient-1","",IS_CINT,"0",2.55,10912.2781,24415.614,101.142272,21.8845775,69.9803827,34.1058901,10.516361,33.394272,10.7917939
53,"","transient-1","",IS_CINT,"0",2.6,10733.4992,23942.2193,102.224063,21.3883408,70.9933963,34.6268846,10.3248938,33.9290641,10.5963685
54,"","transient-1","",IS_CINT,"0",2.65,10536.1423,23494.0299,103.281239,20.9000933,71.9846234,35.1384914,10.140056,34.4537339,10.3900997
55,"","transient-1","",IS_CINT,"0",2.7,10319.471,23082.9592,104.314221,20.4207722,72.9543416,35.640909,9.95635907,34.9681325,10.1870717
56,"","transient-1","",IS_CINT,"0",2.75,10086.4826,22695.0477,105.32348,19.9512614,73.9028811,36.1340595,9.76866614,35.4725891,9.99274487
57,"","transient-1","",IS_CINT,"0",2.8,9842.99877,22305.3657,106.309522,19.4922351,74.8306183,36.6176593,9.57408725,35.9675467,9.80671239
