Experiment: reference Library: COMM_FMI_EXAMPLES Component: bouncingBall Partition: default
User: ftm Date: 2026:05:21 Time: 15:18:46
Platform: win64_vcr1 OS: Microsoft Windows [Version 10.0.26100]
Library dependency list: COMM_FMI_EXAMPLES V3.0.0 MATH V3.4.8 
Programme and Version: PROOSIS V7.2.1
#Group,#Case,#Calc,#Point,#Status,ESI,TIME,h(m),h'
1,"","transient-1","",INTEG_BEGIN,"0",0,10,0
2,"","transient-1","",IS_CINT,"0",0.1,9.95096675,-0.980665
3,"","transient-1","",IS_CINT,"0",0.2,9.803867,-1.96133
4,"","transient-1","",IS_CINT,"0",0.3,9.55870075,-2.941995
5,"","transient-1","",IS_CINT,"0",0.4,9.215468,-3.92266
6,"","transient-1","",IS_CINT,"0",0.5,8.77416875,-4.903325
7,"","transient-1","",IS_CINT,"0",0.6,8.234803,-5.88399
8,"","transient-1","",IS_CINT,"0",0.7,7.59737075,-6.864655
9,"","transient-1","",IS_CINT,"0",0.8,6.861872,-7.84532
10,"","transient-1","",IS_CINT,"0",0.9,6.02830675,-8.825985
11,"","transient-1","",IS_CINT,"0",1,5.096675,-9.80665
12,"","transient-1","",IS_CINT,"0",1.1,4.06697675,-10.787315
13,"","transient-1","",IS_CINT,"0",1.2,2.939212,-11.76798
14,"","transient-1","",IS_CINT,"0",1.3,1.71338075,-12.748645
15,"","transient-1","",IS_CINT,"0",1.4,0.389483,-13.72931
16,"","transient-1","",IS_EVENT,"0",1.42808702,-5.19688818e-07,-14.0047496
17,"","transient-1","",IS_EVENT,"0",1.42808702,-5.19688818e-07,11.2037996
18,"","transient-1","",IS_CINT,"0",1.5,0.780340687,10.4985742
19,"","transient-1","",IS_CINT,"0",1.6,1.78116486,9.51790921
20,"","transient-1","",IS_CINT,"0",1.7,2.68392253,8.53724421
21,"","transient-1","",IS_CINT,"0",1.8,3.4886137,7.55657921
22,"","transient-1","",IS_CINT,"0",1.9,4.19523837,6.57591421
23,"","transient-1","",IS_CINT,"0",2,4.80379654,5.59524921
24,"","transient-1","",IS_CINT,"0",2.1,5.31428821,4.61458421
25,"","transient-1","",IS_CINT,"0",2.2,5.72671338,3.63391921
26,"","transient-1","",IS_CINT,"0",2.3,6.04107205,2.65325421
27,"","transient-1","",IS_CINT,"0",2.4,6.25736422,1.67258921
28,"","transient-1","",IS_CINT,"0",2.5,6.37558989,0.691924205
29,"","transient-1","",IS_CINT,"0",2.6,6.39574906,-0.288740795
30,"","transient-1","",IS_CINT,"0",2.7,6.31784173,-1.26940579
31,"","transient-1","",IS_CINT,"0",2.8,6.1418679,-2.25007079
32,"","transient-1","",IS_CINT,"0",2.9,5.86782757,-3.23073579
33,"","transient-1","",IS_CINT,"0",3,5.49572074,-4.21140079
34,"","transient-1","",IS_CINT,"0",3.1,5.02554741,-5.19206579
35,"","transient-1","",IS_CINT,"0",3.2,4.45730759,-6.17273079
36,"","transient-1","",IS_CINT,"0",3.3,3.79100126,-7.15339579
37,"","transient-1","",IS_CINT,"0",3.4,3.02662843,-8.13406079
38,"","transient-1","",IS_CINT,"0",3.5,2.1641891,-9.11472579
39,"","transient-1","",IS_CINT,"0",3.6,1.20368327,-10.0953908
40,"","transient-1","",IS_CINT,"0",3.7,0.145110938,-11.0760558
41,"","transient-1","",IS_EVENT,"0",3.71302641,-2.35094374e-06,-11.2038012
42,"","transient-1","",IS_EVENT,"0",3.71302641,-2.35094374e-06,8.963041
43,"","transient-1","",IS_CINT,"0",3.8,0.742454755,8.11012145
44,"","transient-1","",IS_CINT,"0",3.9,1.50443365,7.12945645
45,"","transient-1","",IS_CINT,"0",4,2.16834605,6.14879145
46,"","transient-1","",IS_CINT,"0",4.1,2.73419194,5.16812645
47,"","transient-1","",IS_CINT,"0",4.2,3.20197134,4.18746145
48,"","transient-1","",IS_CINT,"0",4.3,3.57168423,3.20679645
49,"","transient-1","",IS_CINT,"0",4.4,3.84333063,2.22613145
50,"","transient-1","",IS_CINT,"0",4.5,4.01691052,1.24546645
