Experiment: reference Library: COMM_FMI_EXAMPLES Component: diodeBridge Partition: default
User: ftm Date: 2026:05:21 Time: 15:21:07
Platform: win64_vcr1 OS: Microsoft Windows [Version 10.0.26100]
Library dependency list: COMM_FMI_EXAMPLES V3.0.0 ELECTRICAL V3.2.4 MATH V3.4.8 PORTS_LIB V1.2.0 
Programme and Version: PROOSIS V7.2.1
#Group,#Case,#Calc,#Point,#Status,ESI,TIME,C1.v(V),D1.v(V),D2.v(V),D3.v(V),D4.v(V)
1,"","transient-1","",INTEG_BEGIN,"0",0,0,0,0,0,0
2,"","transient-1","",IS_EVENT,"0",6.36619774e-12,-1.05176568e-25,1e-08,-1e-08,-1e-08,1e-08
3,"","transient-1","",IS_EVENT,"0",6.36619774e-12,-1.05176568e-25,1e-08,-1e-08,-1e-08,1e-08
4,"","transient-1","",IS_CINT,"0",0.0005,1.50193881,0.0312029227,-1.53314173,-1.53314173,0.0312029227
5,"","transient-1","",IS_CINT,"0",0.001,3.02969916,0.0302353925,-3.05993455,-3.05993455,0.0302353925
6,"","transient-1","",IS_CINT,"0",0.0015,4.48285827,0.0285233654,-4.51138163,-4.51138163,0.0285233654
7,"","transient-1","",IS_CINT,"0",0.002,5.82563442,0.0261090492,-5.85174347,-5.85174347,0.0261090492
8,"","transient-1","",IS_CINT,"0",0.0025,7.02496419,0.0230518095,-7.048016,-7.048016,0.0230518095
9,"","transient-1","",IS_CINT,"0",0.003,8.05131607,0.0194269388,-8.070743,-8.070743,0.0194269388
10,"","transient-1","",IS_CINT,"0",0.0035,8.87941778,0.0153237325,-8.89474151,-8.89474151,0.0153237325
11,"","transient-1","",IS_CINT,"0",0.004,9.48887872,0.0108432216,-9.49972194,-9.49972194,0.0108432216
12,"","transient-1","",IS_CINT,"0",0.0045,9.86469214,0.00609563083,-9.87078778,-9.87078778,0.00609563083
13,"","transient-1","",IS_CINT,"0",0.005,9.997604,0.00119799802,-9.998802,-9.998802,0.00119799802
14,"","transient-1","",IS_EVENT,"0",0.00512138621,9.99272966,-9.99999905e-09,-9.99272965,-9.99272965,-9.99999905e-09
15,"","transient-1","",IS_EVENT,"0",0.00512138621,9.99272966,-9.99999912e-09,-9.99272965,-9.99272965,-9.99999898e-09
16,"","transient-1","",IS_CINT,"0",0.0055,9.95492964,-0.0390231173,-9.91590652,-9.91590652,-0.0390231173
17,"","transient-1","",IS_CINT,"0",0.006,9.9052296,-0.19733222,-9.70789738,-9.70789738,-0.19733222
18,"","transient-1","",IS_CINT,"0",0.0065,9.85577762,-0.472856191,-9.38292143,-9.38292143,-0.472856191
19,"","transient-1","",IS_CINT,"0",0.007,9.80657259,-0.858201324,-8.94837127,-8.94837127,-0.858201324
20,"","transient-1","",IS_CINT,"0",0.0075,9.75761301,-1.3432726,-8.41434041,-8.41434041,-1.3432726
